Cell,R,G,B,A
A0,0,0,0,255
B0,25,25,25,255
C0,50,50,50,255
D0,76,76,76,255
E0,102,102,102,255
F0,155,217,232,255
G0,164,189,194,255
H0,123,140,147,255
I0,83,94,98,255
J0,42,47,50,255
K0,123,105,153,255
L0,63,72,111,255
M0,62,52,77,255
N0,93,105,127,255
O0,5,128,185,255
P0,204,204,82,255
Q0,255,255,103,255
R0,255,255,155,255
S0,255,255,205,255
T0,152,123,83,255
A1,127,127,127,255
B1,153,153,153,255
C1,178,178,178,255
D1,204,204,204,255
E1,229,229,229,255
F1,63,86,76,255
G1,63,116,88,255
H1,93,129,115,255
I1,83,155,118,255
J1,82,151,88,255
K1,202,123,66,255
L1,204,164,76,255
M1,254,102,37,255
N1,255,153,43,255
O1,255,154,84,255
P1,99,61,82,255
Q1,148,62,107,255
R1,249,155,205,255
S1,200,124,163,255
T1,151,123,138,255
A2,255,255,255,255
B2,20,0,125,255
C2,1,160,199,255
D2,0,135,56,255
E2,255,255,1,255
F2,103,195,184,255
G2,83,156,149,255
H2,165,188,160,255
I2,205,235,199,255
J2,154,213,149,255
K2,255,204,1,255
L2,253,204,137,255
M2,102,82,57,255
N2,151,62,44,255
O2,203,82,29,255
P2,202,164,185,255
Q2,160,78,140,255
R2,199,50,150,255
S2,199,97,173,255
T2,162,115,157,255
A3,254,0,0,255
B3,241,3,127,255
C3,160,41,121,255
D3,255,102,0,255
E3,251,154,165,255
F3,123,141,119,255
G3,124,140,93,255
H3,165,186,85,255
I3,165,187,122,255
J3,153,207,23,255
K3,252,103,73,255
L3,253,154,123,255
M3,252,204,184,255
N3,150,93,99,255
O3,202,83,87,255
P3,202,143,197,255
Q3,81,57,79,255
R3,122,87,119,255
S3,153,88,168,255
T3,151,1,126,255
A4,101,82,75,255
B4,204,191,221,255
C4,153,132,191,255
D4,105,121,183,255
E4,106,81,164,255
F4,204,233,105,255
G4,50,50,42,255
H4,103,102,82,255
I4,154,153,123,255
J4,153,153,93,255
K4,199,84,117,255
L4,251,0,53,255
M4,249,102,108,255
N4,248,54,91,255
O4,201,124,132,255
P4,122,37,118,255
Q4,107,42,146,255
R4,92,52,102,255
S4,87,34,116,255
T4,0,0,0,255
